title,url,source,posting_date,target_sentiment
De deudas de tarjetas de crédito y el panameño de a pie,https://panamabankingnews.com/columna-de-opinion-y-analisis/de-deudas-de-tarjetas-de-credito-y-el-panameno-de-a-pie/,Panama Banking News,"agosto 26, 2025",Negative
"FMI prevé repunte económico en Panamá en 2025, pero advierte riesgos fiscales",https://panamabankingnews.com/economia/fmi-preve-repunte-economico-en-panama-en-2025-pero-advierte-riesgos-fiscales/,Panama Banking News,"agosto 26, 2025",Positive
Préstamos de autos mantienen la morosidad más baja del sistema bancario en Panamá,https://panamabankingnews.com/banca/prestamos-de-autos-mantienen-la-morosidad-mas-baja-del-sistema-bancario-en-panama/,Panama Banking News,"agosto 22, 2025",Positive
Seguridad cuántica está acelerando la protección de los activos críticos en entornos multinube,https://panamabankingnews.com/notas-de-prensa/seguridad-cuantica-esta-acelerando-la-proteccion-de-los-activos-criticos-en-entornos-multinube/,Panama Banking News,"agosto 22, 2025",Positive
Líderes regionales intercambiarán en Panamá herramientas para potenciar el valor empresarial y proteger contra riesgos fiscales,https://panamabankingnews.com/notas-de-prensa/lideres-regionales-intercambiaran-en-panama-herramientas-para-potenciar-el-valor-empresarial-y-proteger-contra-riesgos-fiscales/,Panama Banking News,"agosto 21, 2025",Positive
Nestlé Panamá entra en la cancha con sus marcas icónicas Maggi y Quesos ¡Qué Rico! como nuevos patrocinadores oficiales de la Selección Panameña de Fútbol,https://panamabankingnews.com/notas-de-prensa/nestle-panama-entra-en-la-cancha-con-sus-marcas-iconicas-maggi-y-quesos-que-rico-como-nuevos-patrocinadores-oficiales-de-la-seleccion-panamena-de-futbol/,Panama Banking News,"agosto 19, 2025",Positive
"Panamá reduce su prima de riesgo a mínimos de dos años, según MEF con datos de Bloomberg",https://panamabankingnews.com/economia/panama-reduce-su-prima-de-riesgo-a-minimos-de-dos-anos-segun-mef-con-datos-de-bloomberg/,Panama Banking News,"agosto 16, 2025",Positive
Panamá y Ecuador firman acuerdo tributario para avanzar en salida de lista de paraísos fiscales,https://panamabankingnews.com/economia/panama-y-ecuador-firman-acuerdo-tributario-para-avanzar-en-salida-de-lista-de-paraisos-fiscales/,Panama Banking News,"agosto 15, 2025",Positive
Presidente anuncia medidas para proteger la producción nacional de leche ante reducción de compras de Nestlé,https://panamabankingnews.com/economia/presidente-anuncia-medidas-para-proteger-la-produccion-nacional-de-leche-ante-reduccion-de-compras-de-nestle/,Panama Banking News,"agosto 15, 2025",Positive
Presidente Mulino se reúne con ejecutivos del Mizuho Bank para explorar financiamiento de proyectos de infraestructura,https://panamabankingnews.com/economia/presidente-mulino-se-reune-con-ejecutivos-del-mizuho-bank-para-explorar-financiamiento-de-proyectos-de-infraestructura/,Panama Banking News,"agosto 15, 2025",Positive
IKEA anuncia su expansión a Panamá y Costa Rica de la mano de Sarton Group,https://panamabankingnews.com/negocios/ikea-anuncia-su-expansion-a-panama-y-costa-rica-de-la-mano-de-sarton-group-2/,Panama Banking News,"agosto 15, 2025",Positive
BBVA Colombia S.A. se incorpora al Centro Bancario Internacional de Panamá,https://panamabankingnews.com/banca/bbva-colombia-s-a-se-incorpora-al-centro-bancario-internacional-de-panama/,Panama Banking News,"agosto 15, 2025",Positive
Nestlé reduce temporalmente la producción de leche evaporada en Panamá por baja demanda,https://panamabankingnews.com/negocios/nestle-reduce-temporalmente-la-produccion-de-leche-evaporada-en-panama-por-baja-demanda/,Panama Banking News,"agosto 8, 2025",Negative
La financiación insurtech en Latinoamérica repunta y alcanza los 121 millones de dólares en el primer semestre de 2025,https://panamabankingnews.com/notas-de-prensa/la-financiacion-insurtech-en-latinoamerica-repunta-y-alcanza-los-121-millones-de-dolares-en-el-primer-semestre-de-2025/,Panama Banking News,"agosto 8, 2025",Positive
Avanza la detección de riesgos en entornos cloud y de inteligencia artificial,https://panamabankingnews.com/notas-de-prensa/avanza-la-deteccion-de-riesgos-en-entornos-cloud-y-de-inteligencia-artificial/,Panama Banking News,"agosto 8, 2025",Positive
Multibank celebra 35 años construyendo historias reales y proyectando el futuro de Panamá,https://panamabankingnews.com/contenido-patrocinado/multibank-celebra-35-anos-construyendo-historias-reales-y-proyectando-el-futuro-de-panama/,Panama Banking News,"agosto 6, 2025",Positive
"BAC presenta los resultados de su Estrategia Triple Valor: prosperidad económica, social y ambiental",https://panamabankingnews.com/contenido-patrocinado/bac-presenta-los-resultados-de-su-estrategia-triple-valor-prosperidad-economica-social-y-ambiental/,Panama Banking News,"agosto 5, 2025",Positive
Scotiabank lideró uno de los mayores préstamos sindicados del 2025 para Naturgy Panamá,https://panamabankingnews.com/notas-de-prensa/scotiabank-lidero-uno-de-los-mayores-prestamos-sindicados-del-2025-para-naturgy-panama/,Panama Banking News,"julio 31, 2025",Positive
"Preztamos.com, plataforma digital líder y afiliada estratégica de entidades financieras en Panamá, da la bienvenida a Financiera Amiga",https://panamabankingnews.com/contenido-patrocinado/preztamos-com-plataforma-digital-lider-y-afiliada-estrategica-de-entidades-financieras-en-panama-da-la-bienvenida-a-financiera-amiga/,Panama Banking News,"julio 29, 2025",Positive
Personas más ricas de Latinoamérica por país en 2024,https://panamabankingnews.com/negocios/personas-mas-ricas-de-latinoamerica-por-pais-en-2024/,Panama Banking News,"mayo 12, 2024",Neutral
Los bonos de Panamá saltan mientras los operadores aplauden la postura pro empresarial de Mulino,https://panamabankingnews.com/economia/los-bonos-de-panama-saltan-mientras-los-operadores-aplauden-la-postura-pro-empresarial-de-mulino/,Panama Banking News,"mayo 6, 2024",Positive
Fitch rebaja calificación de Panamá a 'BB+'; Perspectiva estable,https://panamabankingnews.com/economia/fitch-rebaja-calificacion-de-panama-a-bb-perspectiva-estable/,Panama Banking News,"marzo 28, 2024",Negative
El cierre de una mina se suma a las presiones crediticias existentes en Panamá,https://panamabankingnews.com/economia/el-cierre-de-una-mina-se-suma-a-las-presiones-crediticias-existentes-en-panama/,Panama Banking News,"febrero 24, 2024",Negative
"PayCaddy, uno de los 'posibles' unicornios de Centroamérica, según Forbes",https://panamabankingnews.com/fintech/paycaddy-uno-de-los-posibles-unicornios-de-centroamerica-segun-forbes/,Panama Banking News,"noviembre 6, 2023",Positive
Moody´s rebaja calificación de Panamá de Baa2 a Baa3 y cambia perspectiva de negativa a estable,https://panamabankingnews.com/economia/moodys-rebaja-calificacion-de-panama-baa2-a-baa3-cambia-a-perspectiva-estable/,Panama Banking News,"noviembre 1, 2023",Negative
"Moody's downgrades Panama's rating to Baa3, changes outlook to stable",https://panamabankingnews.com/economia/moodys-downgrades-panamas-rating-to-baa3-changes-outlook-to-stable/,Panama Banking News,"noviembre 1, 2023",Negative
GAFI excluye a Panamá de su lista gris,https://panamabankingnews.com/economia/gafi-excluye-a-panama-de-su-lista-gris/,Panama Banking News,"octubre 27, 2023",Positive
Población de Panamá del 2000 al 2030,https://panamabankingnews.com/economia/poblacion-de-panama-del-2000-al-2030/,Panama Banking News,"septiembre 28, 2023",Neutral
Estos son los negocios que sustituirán a Forever 21 en Avenida Escazú y Multiplaza Curridabat,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Positive
"¿Qué es “La Confianza”, la cadena de tiendas tica de más de 80 años y que tomará el local de Forever 21 en Plaza Lincoln?",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Positive
¿Navidad desde agosto? Vea cuáles comercios ya anuncian y venden artículos navideños,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Neutral
Esta es la tienda de ropa que ocupará el local que tenía Forever 21 en Plaza Lincoln,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Positive
Falleció Ricardo Poma: CEO del conglomerado propietario de Grupo Roble,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Negative
"CNFL anuncia cortes de luz que afectarán a miles de clientes en San José, Heredia y Alajuela",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Negative
"Estos son los 5 Airbnb más caros en playa Flamingo, en Guanacaste; vea por qué le ofrecen una escapada de lujo",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Neutral
"Así se mueve el turismo de Costa Rica en 2025: cifras, retos y lo que viene",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Neutral
¿Comer al aire libre en San José? Pronto será posible y estas son las condiciones para los propietarios de comercios,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Positive
Volaris suspende indefinidamente una de sus rutas entre Costa Rica y México. Vea los detalles,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 04:29 p. m.",Negative
¿Cuándo pagan la pensión de agosto?,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
BCR activa nueva capa de protección; aprenda cómo quiere protegerlo,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Positive
¿Tiene una idea con 5G? Costa Rica ya tiene un laboratorio para que pymes y empresas prueben sus innovaciones,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Positive
Vienen cambios en tributación a partir de setiembre: Banco Central aclara qué pasará con Sinpe Móvil,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
¿Tiene seguro para su vehículo? Conozca los pasos a seguir si le roban su carro,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
"Inseguridad, precio del dólar y mala infraestructura: el sector turismo lanza alerta ante el entorno de negocios en Costa Rica",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Negative
Exportaciones de Costa Rica alcanzan cifra récord impulsadas por el sector de dispositivos médicos,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Positive
Feriado del 31 de agosto: conozca si es de pago doble y si debe trabajarlo,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
¿En el este o el oeste de la GAM? Vea dónde le cuesta menos alquilar casa,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
Ministro de Hacienda: reconocer la deuda con la CCSS afectaría la regla fiscal,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Negative
"Creciente, insostenible y descontrolada: ¿hacia dónde va la deuda del Estado con la Caja Costarricense del Seguro Social?",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Negative
¿Cómo hacer que su negocio sea de alto rendimiento?,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
Ocho estrategias de mercadeo en redes sociales para emprendedores,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
"Ella es emprendedora, vio que otras mujeres necesitan una plataforma para impulsar sus negocios y creó Bendita",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Positive
¿Cuáles son las características de los consumidores digitales en Costa Rica? Un estudio de la UCR para el MEIC lo dice,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
Precio del dólar se acerca a los ¢500. Este es el tipo de cambio para el 21 de agosto de 2025 en entidades financieras,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
Gobierno concreta su cambio definitivo en la junta directiva del Banco Nacional: nombra los siete nuevos miembros propietarios,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
Cédula de identidad física tendrá un nuevo diseño; conozca aquí todo lo que cambiará,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
El dólar está a la baja. Este es el tipo de cambio en Costa Rica para el 20 de agosto de 2025,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Positive
Venta y circulación de cuarta nueva moneda coleccionable de ¢50 ya tiene fecha; vea dónde conseguirla y su precio,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 02:21 p. m.",Neutral
"Si busca empleo, ManpowerGroup anuncia decenas de puestos disponibles",https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 11:09 a. m.",Positive
La construcción industrial y comercial de Costa Rica se concentra en 10 cantones: estos son los nuevos 'puntos calientes' de nuestro país,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 11:09 a. m.",Positive
Trump mete al Gobierno de Estados Unidos en Intel: ¿qué representa para Costa Rica?,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 11:09 a. m.",Neutral
Precios para comprar casa en Cartago: vea dónde es más accesible y dónde es más caro,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 11:09 a. m.",Neutral
Atención conductores: anuncian cierre total de vías en Heredia para la próxima semana,https://www.elfinancierocr.com/relative_url,El Financiero CR,"26 de agosto 2025, 11:09 a. m.",Negative
